title,description,price,number_of_rooms,apartment_size_sqm,address,zip_code,city,latitude,longitude,publisher
Zentral gelegene 3.5-Zimmer-Apartment – Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Gute Anbindung an öffentliche Verkehrsmittel. Ruhige Lage, trotz stadtnaher Position. Ideale Verkehrsanbindung.",2810.0,3.5,95.3,Militärstrasse 28,8064,Zürich,47.393993,8.494892,Wincasa AG
1.5-Zimmer-Wohnung in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Carport kann dazugemietet werden. Balkon mit schöner Aussicht vorhanden. Südausrichtung mit viel natürlichem Licht. Ruhige Lage, trotz stadtnaher Position.",1850.0,1.5,44.0,Hohlstrasse 59,8004,Zürich,47.377097,,Wincasa AG
2-Zimmer-Apartment in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Ruhige Wohnlage im Quartier. Einkaufsmöglichkeiten fussläufig erreichbar. Balkon mit schöner Aussicht vorhanden.,1150.0,2.0,32.2,Kirchgasse 138,8045,Zürich,47.369386,8.505822,Homegate
Geräumige 3-Zimmer-Apartment in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Einkaufsmöglichkeiten fussläufig erreichbar. Kindergarten und Schule in unmittelbarer Nähe. Südausrichtung mit viel natürlichem Licht.,2820.0,3.0,90.2,Schaffhauserstrasse 112,8064,Zürich,47.385942,8.497163,Procimmo
Geräumige 3.5-Zimmer-Wohnung in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Einstellplatz kann dazugemietet werden. Frisch renoviert und neu gestrichen. Modernes Bad mit Dusche und Badewanne. Ruhige Lage, trotz stadtnaher Position. Gute Anbindung an öffentliche Verkehrsmittel.",2880.0,3.5,97.6,Aargauerstrasse 66,8047,Zürich,47.384872,8.50632,Wincasa AG
Helle 2-Zimmer-Mietwohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Südausrichtung mit viel natürlichem Licht. Modernes Bad mit Dusche und Badewanne. Balkon mit schöner Aussicht vorhanden. Kindergarten und Schule in unmittelbarer Nähe.,1350.0,2.0,43.3,Zürichbergstrasse 18,8048,Zürich,47.387143,8.475423,Livit AG
Geräumige 3-Zimmer-Apartment in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Gute Anbindung an öffentliche Verkehrsmittel. Grosszügiger Keller inklusive.,2450.0,3.0,85.6,Gloriastrasse 84,8051,Zürich,47.404588,8.57304,Procimmo
Schöne 4.5-Zimmer-Apartment in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Balkon mit schöner Aussicht vorhanden. Ruhige Lage, trotz stadtnaher Position.",3720.0,4.5,118.9,Quellenstrasse 146,8049,Zürich,,8.494717,Privat
Geräumige 3.5-Zimmer-Mietwohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Ideale Verkehrsanbindung. Frisch renoviert und neu gestrichen. Gute Anbindung an öffentliche Verkehrsmittel.,3370.0,3.5,96.7,Zürichbergstrasse 149,8057,Zürich,47.408896,8.547848,Helvetia Immobilien
3.5-Zimmer-Mietwohnung in Uster,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Frisch renoviert und neu gestrichen. Einkaufsmöglichkeiten fussläufig erreichbar. Lift im Gebäude vorhanden. Südausrichtung mit viel natürlichem Licht.,2420.0,3.5,77.4,Josefstrasse 44,8610,Uster,47.347984,8.720658,Privat
Moderne 3.5-Zimmer-Wohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Ideale Verkehrsanbindung. Einkaufsmöglichkeiten fussläufig erreichbar.,2440.0,3.5,86.7,Hohlstrasse 58,8045,Zürich,47.361745,8.503576,ImmoScout24
Voll möblierte 1.5-Zimmer-Mietwohnung,Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Carport kann dazugemietet werden. Grosszügiger Keller inklusive. Gute Anbindung an öffentliche Verkehrsmittel. Ruhige Wohnlage im Quartier.,1280.0,1.5,34.4,Mutschellenstrasse 107,8404,Winterthur,47.490123,8.732852,Homegate
Voll möblierte 3.5-Zimmer-Wohnung,"Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Kindergarten und Schule in unmittelbarer Nähe. Ideale Verkehrsanbindung. Schöne Aussicht auf die Umgebung. Ruhige Lage, trotz stadtnaher Position.",2440.0,3.5,87.8,Schaffhauserstrasse 109,8404,Winterthur,,8.727344,Privat
Zentral gelegene 4-Zimmer-Wohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Kindergarten und Schule in unmittelbarer Nähe. Einkaufsmöglichkeiten fussläufig erreichbar. Lift im Gebäude vorhanden. Ideale Verkehrsanbindung.,3860.0,4.0,99.6,Weinbergstrasse 117,8008,Zürich,47.352762,8.563544,Helvetia Immobilien
Voll möblierte 2.5-Zimmer-Apartment,Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Ideale Verkehrsanbindung. Balkon mit schöner Aussicht vorhanden. Gute Anbindung an öffentliche Verkehrsmittel.,1870.0,2.5,66.5,Zürichbergstrasse 141,8302,Kloten,47.452898,8.593011,Livit AG
Schöne 1-Zimmer-Apartment in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Gute Anbindung an öffentliche Verkehrsmittel. Balkon mit schöner Aussicht vorhanden. Lift im Gebäude vorhanden.,830.0,1.0,29.6,Zentralstrasse 62,8045,Zürich,47.363389,8.511049,Wincasa AG
Moderne 4.5-Zimmer-Wohnung in Birmensdorf,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Modernes Bad mit Dusche und Badewanne. Gute Anbindung an öffentliche Verkehrsmittel.,2940.0,4.5,108.7,Forchstrasse 36,8903,Birmensdorf,47.354483,8.421337,ImmoScout24
Renovierte 4-Zimmer-Apartment in Bülach,Gepflegte Wohnung in sehr gutem Zustand. Gute Anbindung an öffentliche Verkehrsmittel. Grosszügiger Keller inklusive.,2780.0,4.0,103.3,Gloriastrasse 105,8180,Bülach,47.526655,8.542981,Procimmo
Schöne 3.5-Zimmer-Apartment in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Balkon mit schöner Aussicht vorhanden. Grosszügiger Keller inklusive. Modernes Bad mit Dusche und Badewanne.,3190.0,3.5,88.0,Seestrasse 148,8005,Zürich,47.385372,8.526493,Helvetia Immobilien
Möblierte Wohnung – Zürich,"Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Alle nötigen Möbel, Kühlschrank, Geschirrspüler und Waschmaschine sind vorhanden. Grosszügiger Keller inklusive. Lift im Gebäude vorhanden.",3170.0,2.5,67.4,Mythenquai 125,8002,Zürich,47.356655,8.535396,Procimmo
Renovierte 4-Zimmer-Wohnung in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Einkaufsmöglichkeiten fussläufig erreichbar. Ruhige Lage, trotz stadtnaher Position. Frisch renoviert und neu gestrichen.",2880.0,4.0,105.8,Militärstrasse 120,8046,Zürich,47.426959,8.517307,Homegate
Zentral gelegene 3.5-Zimmer-Wohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Balkon mit schöner Aussicht vorhanden. Grosszügiger Keller inklusive.,3390.0,3.5,114.6,Forchstrasse 110,8037,Zürich,47.387758,8.522213,Wincasa AG
Möblierte Apartment – Zürich,"Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Balkon mit schöner Aussicht vorhanden. Grosszügiger Keller inklusive. Ruhige Lage, trotz stadtnaher Position.",2730.0,,65.0,Talstrasse 117,8004,Zürich,47.375934,8.528632,ImmoScout24
Renovierte 3.5-Zimmer-Mietwohnung in Küsnacht,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Gute Anbindung an öffentliche Verkehrsmittel. Frisch renoviert und neu gestrichen. Südausrichtung mit viel natürlichem Licht.,2930.0,3.5,81.4,Josefstrasse 5,8700,Küsnacht,47.319393,8.585665,Homegate
Zentral gelegene 2.5-Zimmer-Wohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Tiefgaragenplatz kann dazugemietet werden. Ruhige Wohnlage im Quartier. Ideale Verkehrsanbindung.,2590.0,2.5,76.7,Seestrasse 64,8037,Zürich,47.396519,,ImmoScout24
Möblierte Mietwohnung – Kloten,Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Tiefgaragenplatz kann dazugemietet werden. Einkaufsmöglichkeiten fussläufig erreichbar. Modernes Bad mit Dusche und Badewanne. Südausrichtung mit viel natürlichem Licht. Ruhige Wohnlage im Quartier.,3600.0,,127.5,Talstrasse 120,8302,Kloten,47.455987,8.590237,Livit AG
Helle 2-Zimmer-Wohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Grosszügiger Keller inklusive. Modernes Bad mit Dusche und Badewanne. Gute Anbindung an öffentliche Verkehrsmittel.,2320.0,2.0,60.2,Schaffhauserstrasse 149,8001,Zürich,47.381993,8.545877,ImmoScout24
Zentral gelegene 3-Zimmer-Mietwohnung – Dübendorf,"Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Einstellplatz kann dazugemietet werden. Ruhige Lage, trotz stadtnaher Position. Einkaufsmöglichkeiten fussläufig erreichbar.",2680.0,3.0,95.0,Bellerivestrasse 27,8600,Dübendorf,47.39184,8.617009,Homegate
Möblierte Apartment – Zürich,"Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Alle nötigen Möbel, Kühlschrank, Geschirrspüler und Waschmaschine sind vorhanden. Lift im Gebäude vorhanden. Schöne Aussicht auf die Umgebung. Grosszügiger Keller inklusive. Ideale Verkehrsanbindung.",2770.0,3.0,84.7,Limmatstrasse 137,8051,Zürich,47.402203,8.566523,ImmoScout24
Zentral gelegene 2-Zimmer-Mietwohnung – Dietikon,Gepflegte Wohnung in sehr gutem Zustand. Grosszügiger Keller inklusive. Ruhige Wohnlage im Quartier.,1670.0,2.0,70.5,Zürichbergstrasse 93,8953,Dietikon,47.40312,8.394942,Helvetia Immobilien
Furnished 4-room Apartment in Zürich,"Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Alle nötigen Möbel, Kühlschrank, Geschirrspüler und Waschmaschine sind vorhanden. Einkaufsmöglichkeiten fussläufig erreichbar. Balkon mit schöner Aussicht vorhanden. Lift im Gebäude vorhanden. Gute Anbindung an öffentliche Verkehrsmittel.",4020.0,4.0,130.8,Rosengartenstrasse 138,8049,Zürich,47.404643,8.484309,ImmoScout24
Zentral gelegene 3.5-Zimmer-Wohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Frisch renoviert und neu gestrichen. Grosszügiger Keller inklusive. Lift im Gebäude vorhanden. Schöne Aussicht auf die Umgebung.,4490.0,3.5,92.7,Rosengartenstrasse 116,8001,Zürich,47.382315,8.542442,UBS Real Estate
Moderne 3-Zimmer-Apartment in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Lift im Gebäude vorhanden. Balkon mit schöner Aussicht vorhanden. Einkaufsmöglichkeiten fussläufig erreichbar.,2230.0,3.0,82.2,Badenerstrasse 47,8048,Zürich,47.386426,8.485124,Livit AG
2-Zimmer-Wohnung in Bülach,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Carport kann dazugemietet werden. Kindergarten und Schule in unmittelbarer Nähe. Gute Anbindung an öffentliche Verkehrsmittel. Ideale Verkehrsanbindung.,1530.0,2.0,54.5,Bahnhofstrasse 133,8180,Bülach,47.523419,8.544624,UBS Real Estate
Helle 3.5-Zimmer-Wohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Gute Anbindung an öffentliche Verkehrsmittel. Balkon mit schöner Aussicht vorhanden. Frisch renoviert und neu gestrichen. Einkaufsmöglichkeiten fussläufig erreichbar.,3210.0,3.5,93.6,Freiestrasse 5,8003,Zürich,47.367963,8.520916,Wincasa AG
Helle 3.5-Zimmer-Mietwohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Einstellplatz kann dazugemietet werden. Lift im Gebäude vorhanden. Modernes Bad mit Dusche und Badewanne. Ideale Verkehrsanbindung.,2680.0,3.5,86.1,Josefstrasse 142,8051,Zürich,47.395095,8.564684,Livit AG
3.5-Zimmer-Wohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Parkplatz kann dazugemietet werden. Modernes Bad mit Dusche und Badewanne. Kindergarten und Schule in unmittelbarer Nähe.,3470.0,3.5,116.4,Hohlstrasse 65,8045,Zürich,47.367869,8.50911,Comparis
Schöne 3.5-Zimmer-Mietwohnung in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Ruhige Lage, trotz stadtnaher Position. Kindergarten und Schule in unmittelbarer Nähe. Einkaufsmöglichkeiten fussläufig erreichbar. Balkon mit schöner Aussicht vorhanden.",3140.0,3.5,110.3,Aargauerstrasse 56,8046,Zürich,47.428667,8.512011,ImmoScout24
Helle 3-Zimmer-Wohnung – Birmensdorf,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Modernes Bad mit Dusche und Badewanne. Kindergarten und Schule in unmittelbarer Nähe.,2100.0,3.0,79.9,Aargauerstrasse 76,8903,Birmensdorf,47.357886,8.427135,Comparis
