title,description,price_chf,number_of_rooms,apartment_size_sqm,address,zip_code,city,latitude,longitude,publisher,distance_to_zurich_center,furnished,parking,rooms_per_sqm
Moderne 4-Zimmer-Mietwohnung in Urdorf,"Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Südausrichtung mit viel natürlichem Licht. Ruhige Wohnlage im Quartier. Ruhige Lage, trotz stadtnaher Position. Einkaufsmöglichkeiten fussläufig erreichbar.",3290.0,4.0,130.0,Josefstrasse 129,8902,Urdorf,47.383399,8.418112,ImmoScout24,9.33,0,0,0.03076923076923077
Renovierte 3-Zimmer-Wohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Schöne Aussicht auf die Umgebung. Einkaufsmöglichkeiten fussläufig erreichbar. Südausrichtung mit viel natürlichem Licht. Grosszügiger Keller inklusive.,3130.0,3.0,85.7,Bellerivestrasse 104,8005,Zürich,47.386466,8.522935,Helvetia Immobilien,1.77,0,0,0.03500583430571762
Geräumige 3.5-Zimmer-Wohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Balkon mit schöner Aussicht vorhanden. Grosszügiger Keller inklusive.,3740.0,3.5,105.5,Badenerstrasse 67,8003,Zürich,47.369105,8.525186,Comparis,1.52,0,0,0.03317535545023697
Zentral gelegene 3-Zimmer-Apartment – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Ideale Verkehrsanbindung. Einkaufsmöglichkeiten fussläufig erreichbar.,3490.0,3.0,100.2,Hohlstrasse 118,8004,Zürich,47.378099,8.523766,ImmoScout24,1.36,0,0,0.029940119760479042
Renovierte 3.5-Zimmer-Wohnung in Pfäffikon ZH,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Südausrichtung mit viel natürlichem Licht. Gute Anbindung an öffentliche Verkehrsmittel. Lift im Gebäude vorhanden.,1840.0,3.5,65.8,Rämistrasse 138,8330,Pfäffikon ZH,47.373262,8.790911,Livit AG,18.77,0,0,0.05319148936170213
Geräumige 4-Zimmer-Mietwohnung in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Kindergarten und Schule in unmittelbarer Nähe. Schöne Aussicht auf die Umgebung. Frisch renoviert und neu gestrichen. Ruhige Lage, trotz stadtnaher Position.",2550.0,4.0,83.5,Militärstrasse 113,8047,Zürich,47.387519,8.502597,Livit AG,3.17,0,0,0.04790419161676647
Möblierte Mietwohnung – Zürich,"Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Alle nötigen Möbel, Kühlschrank, Geschirrspüler und Waschmaschine sind vorhanden. Schöne Aussicht auf die Umgebung. Südausrichtung mit viel natürlichem Licht. Frisch renoviert und neu gestrichen.",2280.0,2.5,45.5,Heinrichstrasse 53,8002,Zürich,47.353421,8.531014,Procimmo,2.73,1,0,0.054945054945054944
Helle 4-Zimmer-Wohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Parkplatz kann dazugemietet werden. Modernes Bad mit Dusche und Badewanne. Ideale Verkehrsanbindung.,3500.0,4.0,96.5,Rosengartenstrasse 12,8006,Zürich,47.392761,8.543369,Helvetia Immobilien,1.77,0,1,0.04145077720207254
Möblierte 3.5-Zimmer-Wohnung in Zürich,"Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Alle nötigen Möbel, Kühlschrank, Geschirrspüler und Waschmaschine sind vorhanden. Tiefgaragenplatz kann dazugemietet werden. Schöne Aussicht auf die Umgebung. Lift im Gebäude vorhanden. Einkaufsmöglichkeiten fussläufig erreichbar. Kindergarten und Schule in unmittelbarer Nähe.",3390.0,3.5,107.1,Zürichbergstrasse 144,8064,Zürich,47.387624,8.493476,Comparis,3.82,1,1,0.032679738562091505
Helle 3-Zimmer-Wohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Lift im Gebäude vorhanden. Gute Anbindung an öffentliche Verkehrsmittel.,3370.0,3.0,95.1,Zürichbergstrasse 33,8004,Zürich,47.379062,8.526629,Privat,1.16,0,0,0.03154574132492114
Zentral gelegene 3-Zimmer-Mietwohnung – Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Modernes Bad mit Dusche und Badewanne. Ruhige Wohnlage im Quartier. Gute Anbindung an öffentliche Verkehrsmittel. Ruhige Lage, trotz stadtnaher Position.",2940.0,3.0,86.1,Schaffhauserstrasse 91,8004,Zürich,47.375581,8.532305,Comparis,0.72,0,0,0.0348432055749129
Geräumige 3-Zimmer-Wohnung in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Ruhige Lage, trotz stadtnaher Position. Frisch renoviert und neu gestrichen. Gute Anbindung an öffentliche Verkehrsmittel.",2470.0,3.0,86.3,Gloriastrasse 7,8046,Zürich,47.432812,8.518924,Livit AG,6.45,0,0,0.03476245654692932
Zentral gelegene 3.5-Zimmer-Apartment – Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Gute Anbindung an öffentliche Verkehrsmittel. Ruhige Lage, trotz stadtnaher Position. Ideale Verkehrsanbindung.",2810.0,3.5,95.3,Militärstrasse 28,8064,Zürich,47.393993,8.494892,Wincasa AG,4.0,0,0,0.03672612801678909
1.5-Zimmer-Wohnung in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Carport kann dazugemietet werden. Balkon mit schöner Aussicht vorhanden. Südausrichtung mit viel natürlichem Licht. Ruhige Lage, trotz stadtnaher Position.",1850.0,1.5,44.0,Hohlstrasse 59,8004,Zürich,47.377097,8.535243000000001,Wincasa AG,0.49,0,1,0.03409090909090909
2-Zimmer-Apartment in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Ruhige Wohnlage im Quartier. Einkaufsmöglichkeiten fussläufig erreichbar. Balkon mit schöner Aussicht vorhanden.,1150.0,2.0,32.2,Kirchgasse 138,8045,Zürich,47.369386,8.505822,Homegate,2.83,0,0,0.06211180124223602
Geräumige 3-Zimmer-Apartment in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Einkaufsmöglichkeiten fussläufig erreichbar. Kindergarten und Schule in unmittelbarer Nähe. Südausrichtung mit viel natürlichem Licht.,2820.0,3.0,90.2,Schaffhauserstrasse 112,8064,Zürich,47.385942,8.497163,Procimmo,3.5,0,0,0.03325942350332594
Geräumige 3.5-Zimmer-Wohnung in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Einstellplatz kann dazugemietet werden. Frisch renoviert und neu gestrichen. Modernes Bad mit Dusche und Badewanne. Ruhige Lage, trotz stadtnaher Position. Gute Anbindung an öffentliche Verkehrsmittel.",2880.0,3.5,97.6,Aargauerstrasse 66,8047,Zürich,47.384872,8.50632,Wincasa AG,2.81,0,1,0.03586065573770492
Helle 2-Zimmer-Mietwohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Südausrichtung mit viel natürlichem Licht. Modernes Bad mit Dusche und Badewanne. Balkon mit schöner Aussicht vorhanden. Kindergarten und Schule in unmittelbarer Nähe.,1350.0,2.0,43.3,Zürichbergstrasse 18,8048,Zürich,47.387143,8.475423,Livit AG,5.12,0,0,0.046189376443418015
Geräumige 3-Zimmer-Apartment in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Gute Anbindung an öffentliche Verkehrsmittel. Grosszügiger Keller inklusive.,2450.0,3.0,85.6,Gloriastrasse 84,8051,Zürich,47.404588,8.57304,Procimmo,3.88,0,0,0.03504672897196262
Schöne 4.5-Zimmer-Apartment in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Balkon mit schöner Aussicht vorhanden. Ruhige Lage, trotz stadtnaher Position.",3720.0,4.5,118.9,Quellenstrasse 146,8049,Zürich,47.384790499999994,8.494717,Privat,3.64,0,0,0.03784693019343986
Geräumige 3.5-Zimmer-Mietwohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Ideale Verkehrsanbindung. Frisch renoviert und neu gestrichen. Gute Anbindung an öffentliche Verkehrsmittel.,3370.0,3.5,96.7,Zürichbergstrasse 149,8057,Zürich,47.408896,8.547848,Helvetia Immobilien,3.59,0,0,0.03619441571871768
3.5-Zimmer-Mietwohnung in Uster,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Frisch renoviert und neu gestrichen. Einkaufsmöglichkeiten fussläufig erreichbar. Lift im Gebäude vorhanden. Südausrichtung mit viel natürlichem Licht.,2420.0,3.5,77.4,Josefstrasse 44,8610,Uster,47.347984,8.720658,Privat,13.86,0,0,0.04521963824289405
Moderne 3.5-Zimmer-Wohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Ideale Verkehrsanbindung. Einkaufsmöglichkeiten fussläufig erreichbar.,2440.0,3.5,86.7,Hohlstrasse 58,8045,Zürich,47.361745,8.503576,ImmoScout24,3.33,0,0,0.040369088811995385
Voll möblierte 1.5-Zimmer-Mietwohnung,Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Carport kann dazugemietet werden. Grosszügiger Keller inklusive. Gute Anbindung an öffentliche Verkehrsmittel. Ruhige Wohnlage im Quartier.,1280.0,1.5,34.4,Mutschellenstrasse 107,8404,Winterthur,47.490123,8.732852,Homegate,19.11,1,1,0.0436046511627907
Voll möblierte 3.5-Zimmer-Wohnung,"Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Kindergarten und Schule in unmittelbarer Nähe. Ideale Verkehrsanbindung. Schöne Aussicht auf die Umgebung. Ruhige Lage, trotz stadtnaher Position.",2440.0,3.5,87.8,Schaffhauserstrasse 109,8404,Winterthur,47.384790499999994,8.727344,Privat,14.01,1,0,0.03986332574031891
Zentral gelegene 4-Zimmer-Wohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Kindergarten und Schule in unmittelbarer Nähe. Einkaufsmöglichkeiten fussläufig erreichbar. Lift im Gebäude vorhanden. Ideale Verkehrsanbindung.,3860.0,4.0,99.6,Weinbergstrasse 117,8008,Zürich,47.352762,8.563544,Helvetia Immobilien,3.15,0,0,0.040160642570281124
Voll möblierte 2.5-Zimmer-Apartment,Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Ideale Verkehrsanbindung. Balkon mit schöner Aussicht vorhanden. Gute Anbindung an öffentliche Verkehrsmittel.,1870.0,2.5,66.5,Zürichbergstrasse 141,8302,Kloten,47.452898,8.593011,Livit AG,9.29,1,0,0.03759398496240601
Schöne 1-Zimmer-Apartment in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Gute Anbindung an öffentliche Verkehrsmittel. Balkon mit schöner Aussicht vorhanden. Lift im Gebäude vorhanden.,830.0,1.0,29.6,Zentralstrasse 62,8045,Zürich,47.363389,8.511049,Wincasa AG,2.75,0,0,0.03378378378378378
Moderne 4.5-Zimmer-Wohnung in Birmensdorf,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Modernes Bad mit Dusche und Badewanne. Gute Anbindung an öffentliche Verkehrsmittel.,2940.0,4.5,108.7,Forchstrasse 36,8903,Birmensdorf,47.354483,8.421337,ImmoScout24,9.4,0,0,0.04139834406623735
Renovierte 4-Zimmer-Apartment in Bülach,Gepflegte Wohnung in sehr gutem Zustand. Gute Anbindung an öffentliche Verkehrsmittel. Grosszügiger Keller inklusive.,2780.0,4.0,103.3,Gloriastrasse 105,8180,Bülach,47.526655,8.542981,Procimmo,16.65,0,0,0.03872216844143272
Schöne 3.5-Zimmer-Apartment in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Balkon mit schöner Aussicht vorhanden. Grosszügiger Keller inklusive. Modernes Bad mit Dusche und Badewanne.,3190.0,3.5,88.0,Seestrasse 148,8005,Zürich,47.385372,8.526493,Helvetia Immobilien,1.48,0,0,0.03977272727272727
Möblierte Wohnung – Zürich,"Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Alle nötigen Möbel, Kühlschrank, Geschirrspüler und Waschmaschine sind vorhanden. Grosszügiger Keller inklusive. Lift im Gebäude vorhanden.",3170.0,2.5,67.4,Mythenquai 125,8002,Zürich,47.356655,8.535396,Procimmo,2.3,1,0,0.037091988130563795
Renovierte 4-Zimmer-Wohnung in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Einkaufsmöglichkeiten fussläufig erreichbar. Ruhige Lage, trotz stadtnaher Position. Frisch renoviert und neu gestrichen.",2880.0,4.0,105.8,Militärstrasse 120,8046,Zürich,47.426959,8.517307,Homegate,5.86,0,0,0.03780718336483932
Zentral gelegene 3.5-Zimmer-Wohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Balkon mit schöner Aussicht vorhanden. Grosszügiger Keller inklusive.,3390.0,3.5,114.6,Forchstrasse 110,8037,Zürich,47.387758,8.522213,Wincasa AG,1.9,0,0,0.030541012216404886
Renovierte 3.5-Zimmer-Mietwohnung in Küsnacht,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Gute Anbindung an öffentliche Verkehrsmittel. Frisch renoviert und neu gestrichen. Südausrichtung mit viel natürlichem Licht.,2930.0,3.5,81.4,Josefstrasse 5,8700,Küsnacht,47.319393,8.585665,Homegate,7.2,0,0,0.04299754299754299
Zentral gelegene 2.5-Zimmer-Wohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Tiefgaragenplatz kann dazugemietet werden. Ruhige Wohnlage im Quartier. Ideale Verkehrsanbindung.,2590.0,2.5,76.7,Seestrasse 64,8037,Zürich,47.396519,8.535243000000001,ImmoScout24,2.24,0,1,0.03259452411994785
Helle 2-Zimmer-Wohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Grosszügiger Keller inklusive. Modernes Bad mit Dusche und Badewanne. Gute Anbindung an öffentliche Verkehrsmittel.,2320.0,2.0,60.2,Schaffhauserstrasse 149,8001,Zürich,47.381993,8.545877,ImmoScout24,0.65,0,0,0.03322259136212624
Zentral gelegene 3-Zimmer-Mietwohnung – Dübendorf,"Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Einstellplatz kann dazugemietet werden. Ruhige Lage, trotz stadtnaher Position. Einkaufsmöglichkeiten fussläufig erreichbar.",2680.0,3.0,95.0,Bellerivestrasse 27,8600,Dübendorf,47.39184,8.617009,Homegate,5.91,0,1,0.031578947368421054
Möblierte Apartment – Zürich,"Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Alle nötigen Möbel, Kühlschrank, Geschirrspüler und Waschmaschine sind vorhanden. Lift im Gebäude vorhanden. Schöne Aussicht auf die Umgebung. Grosszügiger Keller inklusive. Ideale Verkehrsanbindung.",2770.0,3.0,84.7,Limmatstrasse 137,8051,Zürich,47.402203,8.566523,ImmoScout24,3.38,1,0,0.03541912632821723
Zentral gelegene 2-Zimmer-Mietwohnung – Dietikon,Gepflegte Wohnung in sehr gutem Zustand. Grosszügiger Keller inklusive. Ruhige Wohnlage im Quartier.,1670.0,2.0,70.5,Zürichbergstrasse 93,8953,Dietikon,47.40312,8.394942,Helvetia Immobilien,11.43,0,0,0.028368794326241134
Furnished 4-room Apartment in Zürich,"Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Alle nötigen Möbel, Kühlschrank, Geschirrspüler und Waschmaschine sind vorhanden. Einkaufsmöglichkeiten fussläufig erreichbar. Balkon mit schöner Aussicht vorhanden. Lift im Gebäude vorhanden. Gute Anbindung an öffentliche Verkehrsmittel.",4020.0,4.0,130.8,Rosengartenstrasse 138,8049,Zürich,47.404643,8.484309,ImmoScout24,5.31,1,0,0.030581039755351678
Zentral gelegene 3.5-Zimmer-Wohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Frisch renoviert und neu gestrichen. Grosszügiger Keller inklusive. Lift im Gebäude vorhanden. Schöne Aussicht auf die Umgebung.,4490.0,3.5,92.7,Rosengartenstrasse 116,8001,Zürich,47.382315,8.542442,UBS Real Estate,0.6,0,0,0.037756202804746494
Moderne 3-Zimmer-Apartment in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Lift im Gebäude vorhanden. Balkon mit schöner Aussicht vorhanden. Einkaufsmöglichkeiten fussläufig erreichbar.,2230.0,3.0,82.2,Badenerstrasse 47,8048,Zürich,47.386426,8.485124,Livit AG,4.39,0,0,0.0364963503649635
2-Zimmer-Wohnung in Bülach,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Carport kann dazugemietet werden. Kindergarten und Schule in unmittelbarer Nähe. Gute Anbindung an öffentliche Verkehrsmittel. Ideale Verkehrsanbindung.,1530.0,2.0,54.5,Bahnhofstrasse 133,8180,Bülach,47.523419,8.544624,UBS Real Estate,16.29,0,1,0.03669724770642202
